chembl_id,drug_name,mechanism_of_action,action_type,target_chembl_id,target_name,target_type,binding_site,direct_interaction,molecular_mechanism,disease_efficacy,mechanism_comment,selectivity_comment,references
CHEMBL31,GATIFLOXACIN,Topoisomerase IV inhibitor,INHIBITOR,CHEMBL2363033,Topoisomerase IV,PROTEIN COMPLEX,,1,1,1,,,label/2015/021493s010lbl.pdf
CHEMBL433,VALPROATE SODIUM,Succinate semialdehyde dehydrogenase inhibitor,INHIBITOR,CHEMBL1911,"Succinate-semialdehyde dehydrogenase, mitochondrial",SINGLE PROTEIN,,1,1,1,,,10812195
CHEMBL435,HYDROCHLOROTHIAZIDE,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR,CHEMBL1876,Solute carrier family 12 member 3,SINGLE PROTEIN,,1,1,1,,,10.1056/NEJMra0907219; label/2015/020125s020lbl.pdf; Diuretic; Hydrochlorothiazide
CHEMBL35,FUROSEMIDE,Sodium-(potassium)-chloride cotransporter 2 inhibitor,INHIBITOR,CHEMBL1874,Solute carrier family 12 member 1,SINGLE PROTEIN,,1,1,1,,,setid=c794c95a-654e-48fe-9596-201fc122ff75; 10.1056/NEJMra0907219; Furosemide; Loop_diuretic
CHEMBL36,PYRIMETHAMINE,Dihydrofolate reductase inhibitor,INHIBITOR,CHEMBL1939,Bifunctional dihydrofolate reductase-thymidylate synthase,SINGLE PROTEIN,,1,1,1,,,setid=3e4d5027-7939-480f-ae19-82e764d9fa97; Pyrimethamine
CHEMBL436,TOLRESTAT,Aldose reductase inhibitor,INHIBITOR,CHEMBL1900,Aldo-keto reductase family 1 member B1,SINGLE PROTEIN,PDBe: 2fzd,1,1,1,"""It reduces the flux of glucose through the polyol pathway, inhibiting tissue accumulation of sorbitol and fructose and preventing reduction of redox potentials.""","""Tolrestat inhibited in dose-dependent fashion the aldose reductase from bovine lenses (IC50, 3.5 X 10(-8) mol/L) and the formation of sorbitol in human red blood cells incubated with glucose (IC50, 3 X 10(-8) mol/L)""",12604217; 16952371; 26349493; 3930915
CHEMBL437,SULFATHIAZOLE,Bacterial dihydropteroate synthase inhibitor,INHIBITOR,CHEMBL2364668,Dihydropteroate synthase,SINGLE PROTEIN,,1,1,1,,,14700578
CHEMBL438,SULFAMERAZINE,Bacterial dihydropteroate synthase inhibitor,INHIBITOR,CHEMBL2364668,Dihydropteroate synthase,SINGLE PROTEIN,,1,1,1,,Broad spectrum,21084778; 4577373; 7486915
CHEMBL439,SULFADIAZINE,Bacterial dihydropteroate synthase inhibitor,INHIBITOR,CHEMBL2364668,Dihydropteroate synthase,SINGLE PROTEIN,,1,1,1,,Broad spectrum,15673759; 9127492
CHEMBL268164,CYCLOBARBITAL,Unknown,,,,,,1,1,1,,,6122710; 989475
CHEMBL38,TRETINOIN,Retinoic acid receptor agonist,AGONIST,CHEMBL2363069,Retinoic acid receptor,PROTEIN FAMILY,,1,1,1,,,setid=b6b45969-a64a-4ce3-b3b6-157d2568a301
CHEMBL443,SULFAMETHOXAZOLE,Bacterial dihydropteroate synthase inhibitor,INHIBITOR,CHEMBL2364668,Dihydropteroate synthase,SINGLE PROTEIN,,1,1,1,,Broad spectrum,7486915
CHEMBL42,CLOZAPINE,Serotonin 2a (5-HT2a) receptor antagonist,ANTAGONIST,CHEMBL224,5-hydroxytryptamine receptor 2A,SINGLE PROTEIN,,1,1,1,,,setid=53bdb79c-c4cf-4818-b1f0-225e67a14536#nlm34090-1; 0443059748; 17015232; Clozapine
