chembl_id,drug_name,class,therapeutic_uses,adverse_effects,binding_sites,target_names,target_types,mechanism_of_action,lipophilicity,synonyms
CHEMBL55,PENTAMIDINE,Not available,"infection; pancreatic carcinoma; hepatocellular carcinoma; trypanosomiasis; cutaneous melanoma; kidney disease; Leishmaniasis; ""Lymphoma, AIDS-Related""; colorectal carcinoma; Hodgkins lymphoma; type 1 diabetes mellitus",Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL463,AMINOHIPPURIC ACID,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL464,ETRETINATE,Not available,psoriasis,teratogenicity (),Not available,Retinoid receptor,PROTEIN FAMILY,Retinoid receptor agonist,Not available,Not available
CHEMBL57,NEVIRAPINE,Not available,HIV infection; HIV-1 infection; infection; AIDS; viral disease; tuberculosis,immune system toxicity (); hepatotoxicity (); dermatological toxicity (),Not available,Human immunodeficiency virus type 1 reverse transcriptase,SINGLE PROTEIN,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,Not available,Not available
CHEMBL465,DRONABINOL,Not available,"irritable bowel syndrome; Chemotherapy-induced nausea and vomiting; obstructive sleep apnea; drug dependence; Nausea; pain; HIV infection; post-traumatic stress disorder; alcohol drinking; Tourette syndrome; opioid dependence; Dementia; essential tremor; cannabis dependence; Chronic pain; Cognitive impairment; psoriatic arthritis; ""osteoarthritis, knee""; Torticollis; Arthropathy; Hair-pulling; Nausea and vomiting; Anorexia; neuropathic pain; amyotrophic lateral sclerosis; schizophrenia; type 2 diabetes mellitus; multiple sclerosis; migraine with aura; alcohol dependence; sickle cell anemia; migraine without aura; autism spectrum disorder; bipolar disorder; cancer; anorexia nervosa",Not available,Not available,Cannabinoid CB1 receptor,SINGLE PROTEIN,Cannabinoid CB1 receptor agonist,Not available,Not available
CHEMBL58,MITOXANTRONE,Not available,neoplasm; acute myeloid leukemia; central nervous system cancer; diffuse large B-cell lymphoma; lymphoid leukemia; Mantle cell lymphoma; breast cancer; extranodal nasal NK/T cell lymphoma; unspecified peripheral T-cell lymphoma; soft tissue sarcoma; lymphoma; multiple myeloma; multiple sclerosis; nasopharyngeal neoplasm; neuromyelitis optica; Malignant Pancreatic Neoplasm,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL59,DOPAMINE,Not available,cardiovascular disease; diabetes mellitus; heart failure; septic shock; Cognitive impairment; Shock; depressive disorder; premature birth; congenital heart disease; Parkinson disease,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL467,HYDROXYUREA,Not available,leukemia; melanoma; essential thrombocythemia; polycythemia vera; myelodysplastic syndrome; neoplasm; glioblastoma multiforme; acute myeloid leukemia; acute promyelocytic leukemia; carcinoma; chronic myelogenous leukemia; lymphoma; stroke; HIV infection; primary myelofibrosis; head and neck malignant neoplasia; gliosarcoma; Hemoglobin SC Disease; Beta-thalassemia; spinal muscular atrophy; myeloproliferative disorder; Central Nervous System Neoplasm; Abnormality of blood and blood-forming tissues; gastric cancer; pulmonary hypertension; esophageal cancer; lung cancer; acute lymphoblastic leukemia; laryngeal neoplasm; paranasal sinus neoplasm; oral cavity cancer; pharynx cancer; hemochromatosis; myelofibrosis; squamous cell carcinoma; Desmoid-type fibromatosis; Thalassemia; multiple sclerosis; sickle cell anemia; meningioma; head and neck squamous cell carcinoma; beta-thalassemia intermedia,carcinogenicity (); hematological toxicity (),M2 subunit is binding site,Ribonucleoside-diphosphate reductase RR1,PROTEIN COMPLEX GROUP,Ribonucleoside-diphosphate reductase RR1 inhibitor,Not available,Not available
CHEMBL61,PODOFILOX,Not available,viral disease; anogenital venereal wart; squamous cell carcinoma,Not available,Not available,Not available,Not available,Unknown,Not available,Not available
CHEMBL64,ISONIAZID,Not available,pulmonary tuberculosis; diabetic foot; HIV infection; AIDS; osteomyelitis; multidrug-resistant tuberculosis; metastatic melanoma; drug-resistant tuberculosis; ulcer disease; silicosis; tuberculosis; meningitis,hepatotoxicity (); gastrointestinal toxicity (),Not available,Enoyl-[acyl-carrier-protein] reductase,SINGLE PROTEIN,Enoyl-[acyl-carrier-protein] reductase inhibitor,Not available,Not available
CHEMBL468,THALIDOMIDE,Not available,immune system disease; Crohn's disease; systemic scleroderma; sarcoma; multiple myeloma; primary myelofibrosis; epilepsy; colorectal adenocarcinoma; neoplasm; HIV infection; ankylosing spondylitis; chronic lymphocytic leukemia; hepatocellular carcinoma; endometriosis; hepatitis C virus infection; sclerosing cholangitis; non-small cell lung carcinoma; neoplasm of mature B-cells; Hodgkins lymphoma; MALT lymphoma; myelodysplastic syndrome; chronic pancreatitis; cutaneous melanoma; diffuse large B-cell lymphoma; glioblastoma multiforme; leukemia; lymphoma; prostate adenocarcinoma; psoriasis; renal cell carcinoma; ulcerative colitis; melanoma; AIDS; idiopathic pulmonary fibrosis; medulloblastoma; pain; kidney neoplasm; colorectal neoplasm; glioma; non-Hodgkins lymphoma; head and neck malignant neoplasia; vascular malformation; autoimmune thrombocytopenic purpura; HIV wasting syndrome; pancreatic neuroendocrine tumor; brain stem neoplasm; amyloidosis; neuroendocrine neoplasm; colorectal carcinoma; Thalassemia; Cough; Waldenstrom macroglobulinemia; neuroblastoma; oral cavity cancer; Central Nervous System Neoplasm; Langerhans Cell Histiocytosis; Uterine Carcinosarcoma; soft tissue sarcoma; peritoneum cancer; fallopian tube cancer; kidney cancer; liver cancer; appendix carcinoma; breast cancer; esophageal cancer; ovarian cancer; prostate cancer; lung cancer; Castleman disease; follicular lymphoma; extranodal nasal NK/T cell lymphoma; malignant colon neoplasm; myelofibrosis; proctitis; Mantle cell lymphoma; discoid lupus erythematosus; COVID-19; Hypoalbuminemia; gastric cancer; Alzheimer disease; amyotrophic lateral sclerosis; primary systemic amyloidosis; malignant epithelial tumor of ovary; sarcoidosis; AL amyloidosis; Beta-thalassemia; cancer,teratogenicity (); vascular toxicity (),Cereblon,CRL4(CRBN) E3 ubiquitin ligase,PROTEIN COMPLEX,CRL4(CRBN) E3 ubiquitin ligase inhibitor,Not available,Not available
CHEMBL469,KETOROLAC,Not available,"heart disease; pain; breast neoplasm; eye inflammation; rheumatic disease; retinopathy of prematurity; Headache; inflammation; injury; periodontitis; preeclampsia; nephrolithiasis; scoliosis; viral conjunctivitis; hypoxia; rotator cuff tear; renal colic; Back pain; ""osteoarthritis, knee""; acute pancreatitis; Miosis; Recurrent tonsillitis; peritoneum cancer; fallopian tube cancer; ovarian cancer; Abdominal pain; diabetic retinopathy; Dysphagia; musculoskeletal system disease; Chronic pain; cataract; migraine disorder; kidney cancer",Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL471,SOTALOL,Not available,atrial fibrillation; cardiovascular disease; heart failure; sudden cardiac arrest; ventricular fibrillation; ventricular tachycardia; myocardial infarction,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL472,GLYBURIDE,Not available,diabetes mellitus; gestational diabetes; angina pectoris; stroke; brain injury; Spinal cord injury; Ischemic stroke; type 1 diabetes mellitus; type 2 diabetes mellitus,Not available,Not available,"Sulfonylurea receptor 1, Kir6.2",PROTEIN COMPLEX,"Sulfonylurea receptor 1, Kir6.2 blocker",Not available,Not available
CHEMBL473,DOFETILIDE,Not available,cardiac arrhythmia; Prolonged QT interval; atrial fibrillation; heart failure; Ventricular arrhythmia; atrial flutter,cardiotoxicity (),Not available,HERG,SINGLE PROTEIN,HERG blocker,Not available,Not available
CHEMBL476,DACARBAZINE,Not available,metastatic melanoma; melanoma; cutaneous melanoma; sarcoma; Hodgkins lymphoma; lymphoma; neoplasm; neuroblastoma; soft tissue sarcoma; unspecified peripheral T-cell lymphoma; leiomyosarcoma; synovial sarcoma; alveolar soft part sarcoma; pancreatic neuroendocrine tumor; neuroendocrine neoplasm; thyroid cancer; kidney cancer; breast cancer; lung cancer; classic Hodgkin lymphoma; malignant colon neoplasm; skin cancer; cancer,teratogenicity (); carcinogenicity (); hepatotoxicity (); hematological toxicity (),Not available,DNA,NUCLEIC-ACID,DNA inhibitor,Not available,Not available
CHEMBL477,ADENOSINE,Not available,pain; neoplasm; myocardial infarction; cardiovascular disease; chronic lymphocytic leukemia; atrial fibrillation; cardiomyopathy; Wolff-Parkinson-White Syndrome; angina pectoris; coronary artery disease; Takotsubo cardiomyopathy; inflammation; ischemia; ST Elevation Myocardial Infarction; paroxysmal tachycardia; acute respiratory distress syndrome; ventricular tachycardia; acute myocardial infarction; Myocardial Ischemia; cancer; coronary stenosis,Not available,Not available,Adenosine receptor,PROTEIN FAMILY,Adenosine receptor agonist,Not available,Not available
CHEMBL479,THIORIDAZINE,Not available,psychosis; acute myeloid leukemia; anxiety; Dementia; depressive disorder; schizophrenia,cardiotoxicity (),Not available,Serotonin 2c (5-HT2c) receptor; Serotonin 2a (5-HT2a) receptor; D2-like dopamine receptor,PROTEIN FAMILY; SINGLE PROTEIN,Serotonin 2a (5-HT2a) receptor antagonist; D2-like dopamine receptor antagonist; Serotonin 2c (5-HT2c) receptor antagonist,Not available,Not available
CHEMBL480,LANSOPRAZOLE,Not available,gastroesophageal reflux disease; Peptic ulcer; duodenal ulcer; pain; premature birth; peptic esophagitis; chronic lymphocytic leukemia; neoplasm; eosinophilic esophagitis; gout; pseudomyxoma peritonei; rectum cancer; Helicobacter pylori infectious disease; Laryngopharyngeal Reflux; lymphoma; gastric ulcer; cervical cancer; breast cancer; endometrial cancer; gastritis; idiopathic pulmonary fibrosis; type 1 diabetes mellitus; osteoarthritis; cystic fibrosis; Heartburn,Not available,Alpha subunit is likely binding site,Potassium-transporting ATPase,PROTEIN COMPLEX,Potassium-transporting ATPase inhibitor,Not available,Not available
CHEMBL481,IRINOTECAN,Not available,Ewing sarcoma; gastric carcinoma; hepatocellular carcinoma; carcinoma; central nervous system cancer; colorectal adenocarcinoma; gastric adenocarcinoma; glioblastoma multiforme; leukemia; lymphoma; neoplasm; neuroblastoma; sarcoma; small cell lung carcinoma; squamous cell carcinoma; cervical carcinoma; cervical adenocarcinoma; anaplastic astrocytoma; anaplastic oligodendroglioma; pancreatic ductal adenocarcinoma; pancreatic carcinoma; esophageal carcinoma; rhabdomyosarcoma; medulloblastoma; non-small cell lung carcinoma; brain neoplasm; pancreatic neoplasm; breast neoplasm; biliary tract neoplasm; stomach neoplasm; colorectal neoplasm; colonic neoplasm; cholangiocarcinoma; colorectal cancer; esophageal squamous cell carcinoma; non-Hodgkins lymphoma; Pineoblastoma; rectum cancer; gliosarcoma; colorectal carcinoma; ovarian carcinoma; ovarian neoplasm; head and neck malignant neoplasia; digestive system neoplasm; metastasis; mucinous carcinoma; ganglioneuroblastoma; mesothelioma; angiosarcoma; pancreatic endocrine carcinoma; diffuse intrinsic pontine glioma; Central Nervous System Neoplasm; Hepatoblastoma; desmoplastic small round cell tumor; endometrial carcinoma; intrahepatic cholangiocarcinoma; gastric cancer; brain cancer; peritoneum cancer; neuroendocrine carcinoma; fallopian tube cancer; rectal neoplasm; kidney cancer; liver cancer; cervical cancer; biliary tract cancer; breast cancer; esophageal cancer; ovarian cancer; lung cancer; choroid plexus neoplasm; kidney Wilms tumor; malignant colon neoplasm; lung neoplasm; digestive system neuroendocrine neoplasm; rectal carcinoma; malignant glioma; Malignant Bone Neoplasm; colon adenocarcinoma; triple-negative breast cancer; glioma; Wilms tumor; Malignant Pancreatic Neoplasm; neuroendocrine neoplasm; cancer; Hereditary breast and ovarian cancer syndrome,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL70,MORPHINE,Not available,pain; chronic obstructive pulmonary disease; injury; neoplasm; bone fracture; neuropathic pain; neonatal abstinence syndrome; Pruritus; restless legs syndrome; post-operative sign or symptom; renal colic; obstructive sleep apnea; premature birth; scoliosis; Constipation; obesity; pregnancy; heroin dependence; opioid dependence; rheumatic disease; rotator cuff tear; mucositis; hemorrhage; acute myeloid leukemia; blood coagulation disease; stomatitis; Back pain; Recurrent tonsillitis; Chronic pain; multiple bone fractures; shortness of breath; respiratory depression; prostate cancer; nephrolithiasis; opioid use disorder; acute myocardial infarction; cardiac arrest; rib fracture; sickle cell anemia; cancer pain; cancer,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL485,CODEINE,Not available,pain; Cough; Myopia; Constipation; Neck pain; toothache; osteoarthritis; sickle cell anemia,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL71,CHLORPROMAZINE,Not available,psychosis; neonatal abstinence syndrome; delirium; glioblastoma multiforme; COVID-19; mental or behavioural disorder; conduct disorder; Nausea and vomiting; schizophrenia; malignant colon neoplasm; porphyria,Not available,Not available,Serotonin 2a (5-HT2a) receptor; D2-like dopamine receptor,PROTEIN FAMILY; SINGLE PROTEIN,Serotonin 2a (5-HT2a) receptor antagonist; D2-like dopamine receptor antagonist,Not available,Not available
CHEMBL72,DESIPRAMINE,Not available,post-traumatic stress disorder; cocaine dependence; unipolar depression; obstructive sleep apnea; gastroesophageal reflux disease; erectile dysfunction; Sciatica; major depressive disorder; depressive disorder; alcohol dependence; Rett syndrome; cancer,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL488,AMINOGLUTETHIMIDE,Not available,neoplasm; breast cancer; prostate cancer,Not available,Not available,Cytochrome P450 19A1; Cytochrome P450 11A1,SINGLE PROTEIN,Cytochrome P450 11A1 inhibitor; Cytochrome P450 19A1 inhibitor,Not available,Not available
CHEMBL74,CROMOLYN SODIUM,Not available,rosacea; prostatitis; Abdominal pain; urticaria; allergic conjunctivitis; Mastocytosis; Vomiting; Headache; triple-negative breast cancer; asthma,Not available,Not available,Not available,Not available,Unknown,Not available,Not available
CHEMBL76,CHLOROQUINE,Not available,malaria; glioblastoma multiforme; brain disease; HIV infection; small cell lung carcinoma; Plasmodium vivax malaria; Plasmodium falciparum malaria; rheumatoid arthritis; AIDS; multiple myeloma; pancreatic carcinoma; pregnancy; Dengue Hemorrhagic Fever; breast ductal carcinoma in situ; influenza; breast cancer; gliosarcoma; COVID-19; sickle cell anemia; cancer; systemic lupus erythematosus,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL490,PAROXETINE,Not available,unipolar depression; anxiety; post-traumatic stress disorder; fibromyalgia; panic disorder; myocardial infarction; chronic hepatitis C virus infection; obsessive-compulsive disorder; agoraphobia; social anxiety disorder; Dementia; Tinnitus; major depressive disorder; depressive disorder; anovulation; rheumatoid arthritis; neuropathic pain; idiopathic pulmonary fibrosis; generalized anxiety disorder; schizophrenia; Parkinson disease; alcohol dependence; premature ejaculation; bipolar disorder,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL416146,ETORICOXIB,Not available,"rheumatic disease; pain; HIV infection; rheumatoid arthritis; ankylosing spondylitis; ""osteoarthritis, knee""; injury; melanoma; bone neoplasm; Dysmenorrhea; toothache; Low back pain; prostate cancer; osteoarthritis; tuberculosis",Not available,Not available,Cyclooxygenase-2,SINGLE PROTEIN,Cyclooxygenase-2 inhibitor,Not available,Not available
CHEMBL79,LIDOCAINE,Not available,"""osteoarthritis, knee""; pain; peripheral neuropathy; carcinoma; premature birth; urinary tract infection; breast carcinoma; carpal tunnel syndrome; Cough; Pruritus; anxiety; fibromyalgia; cocaine dependence; neuropathic pain; parathyroid disease; preeclampsia; postmenopausal osteoporosis; Tendinopathy; cardiac arrhythmia; obesity; frozen shoulder; pulmonary arterial hypertension; stroke; nutritional disorder; arthritis; Myalgia; pregnancy; overactive bladder; pulpitis; injury; infertility; irritable bowel syndrome; squamous cell carcinoma; morbid obesity; actinic keratosis; muscular disease; heart disease; brain neoplasm; colorectal neoplasm; common cold; sinusitis; Extramammary Paget Disease; dysplasia of cervix; myofascial pain syndrome; shoulder impingement syndrome; renal colic; scleroderma; Headache; hemorrhage; Glycogen storage disease due to acid maltase deficiency; attention deficit hyperactivity disorder; dysuria; scoliosis; septic shock; interstitial cystitis; cardiac arrest; sprain; neuroma; stomatitis; diabetic neuropathy; trigeminal neuralgia; colorectal carcinoma; Tinnitus; Chronic pain; Shoulder pain; Dysmenorrhea; humerus fracture; hemorrhoid; muscle cramp; Morton Neuroma; periarthritis; epicondylitis; lateral epicondylitis; oral mucositis; complex regional pain syndrome; Urinary incontinence; Thromboembolism; Low back pain; leiomyoma; pharyngitis; breast cancer; lung cancer; inflammation; glioblastoma multiforme; neoplasm; skin disease; spinal fracture; skin neoplasm; temporomandibular joint disorder; rib fracture; parathyroid adenoma; Muscle spasm; Cognitive impairment; digestive system disease; urethritis; sunburn; neuralgia; neuralgia; burn; anus disease; Back pain; Ventricular arrhythmia; ileus; postherpetic neuralgia; COVID-19; Insect Bites and Stings; radius fracture; non-allergic rhinitis; ""cystic, mucinous, and serous neoplasm""; osteoarthritis; migraine disorder; severe cutaneous adverse reaction; cancer pain; premature ejaculation; spontaneous abortion; atrophic macular degeneration; cancer",Not available,Not available,Sodium channel alpha subunit,PROTEIN FAMILY,Sodium channel alpha subunit blocker,Not available,Not available
CHEMBL9967,PIRENZEPINE,Not available,Peptic ulcer; gastroesophageal reflux disease,Not available,Not available,Muscarinic acetylcholine receptor M1,SINGLE PROTEIN,Muscarinic acetylcholine receptor M1 antagonist,Not available,Not available
CHEMBL492,ETIDOCAINE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL80,NALOXONE,Not available,epilepsy; irritable bowel syndrome; obesity; hepatitis C virus infection; pain; drug dependence; heroin dependence; eating disorder; opioid dependence; morphine dependence; substance withdrawal syndrome; Sezary's disease; mycosis fungoides; Pruritus; Constipation; restless legs syndrome; neuropathic pain; Chronic pain; Low back pain; diabetic polyneuropathy; intestinal obstruction; hypogonadotropic hypogonadism; opioid use disorder; type 1 diabetes mellitus; osteoarthritis; Parkinson disease,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL81,RALOXIFENE,Not available,polycystic ovary syndrome; prostate adenocarcinoma; postmenopausal osteoporosis; osteoporosis; menopause; schizoaffective disorder; Osteopenia; breast cancer; endometrial cancer; severe acute respiratory syndrome; Alzheimer disease; schizophrenia; Cognitive impairment,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL83,TAMOXIFEN,Not available,breast carcinoma; neoplasm; breast cancer,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL493,BROMOCRIPTINE,Not available,Adenomyosis; obesity; Alzheimer disease; type 1 diabetes mellitus; Parkinson disease; ovarian hyperstimulation syndrome; Intellectual disability; anorexia nervosa,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL494,ILOPROST,Not available,pulmonary arterial hypertension; chronic obstructive pulmonary disease; systemic scleroderma; Recurrent thrombophlebitis; chronic kidney disease; septic shock; myocardial infarction; cardiac arrest; Multiple Organ Failure; Raynaud disease; pulmonary hypertension; lung cancer; lung carcinoma; humerus fracture; adult acute respiratory distress syndrome; pulmonary arterial hypertension; asthma,Not available,Not available,Prostanoid IP receptor,SINGLE PROTEIN,Prostanoid IP receptor agonist,Not available,Not available
CHEMBL84,TOPOTECAN,Not available,neoplasm; small cell lung carcinoma; non-small cell lung carcinoma; uterine neoplasm; ovarian neoplasm; neuroblastoma; cervical cancer; ovarian cancer; brain neoplasm; malignant epithelial tumor of ovary; cancer,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL85,RISPERIDONE,Not available,psychosis; autism; cocaine dependence; unipolar depression; Fish-eye disease; methamphetamine dependence; post-traumatic stress disorder; autism spectrum disorder; Tourette syndrome; anxiety; schizoaffective disorder; drug-Induced dyskinesia; Dementia; Oppositional defiant disorder; aggressive behavior; opioid dependence; developmental disability; Neurodevelopmental disorder; schizotypal personality disorder; major depressive disorder; Asperger syndrome; drug dependence; conduct disorder; vascular dementia; depressive disorder; bipolar I disorder; obsessive-compulsive disorder; Alzheimer disease; schizophrenia; Huntington disease; Rett syndrome; Intellectual disability; bipolar disorder,Not available,Not available,Serotonin 2c (5-HT2c) receptor; Serotonin 2a (5-HT2a) receptor; Dopamine D2 receptor,SINGLE PROTEIN,Dopamine D2 receptor antagonist; Serotonin 2a (5-HT2a) receptor antagonist; Serotonin 2c (5-HT2c) receptor antagonist,Not available,Not available
CHEMBL428880,CROMOLYN,Not available,psoriasis; stroke; eye allergy; Eczema; Nasal congestion; Mastocytosis; Airway obstruction; Alzheimer disease; amyotrophic lateral sclerosis; schizophrenia,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL86,METOCLOPRAMIDE,Not available,myelodysplastic syndrome; injury; neoplasm; HIV infection; pain; gastroparesis; gastroschisis; hyperemesis gravidarum; gastroenteritis; Headache; Sepsis; orthostatic hypotension; orthostatic intolerance; Hypoglycemia; Gastrointestinal hemorrhage; Chemotherapy-induced nausea and vomiting; gastrointestinal disease; Vomiting; intestinal obstruction; migraine disorder; Nausea and vomiting,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL428647,PACLITAXEL,Not available,"breast carcinoma; gastric adenocarcinoma; gastric carcinoma; melanoma; metastatic melanoma; non-small cell lung carcinoma; cervical carcinoma; neoplasm; ovarian carcinoma; Coronary Restenosis; small cell lung carcinoma; squamous cell lung carcinoma; squamous cell carcinoma; Kaposi's sarcoma; multiple myeloma; pancreatic carcinoma; esophageal carcinoma; peripheral vascular disease; uterine neoplasm; breast neoplasm; glioblastoma multiforme; head and neck squamous cell carcinoma; hepatocellular carcinoma; colorectal adenocarcinoma; male breast carcinoma; cutaneous melanoma; endometrial neoplasm; Merkel cell skin cancer; peritoneal neoplasm; sarcoma; peripheral arterial disease; pancreatic neoplasm; carcinoma; HIV-1 infection; Hodgkins lymphoma; adenocarcinoma; benign prostatic hyperplasia; bladder tumor; bronchoalveolar adenocarcinoma; germ cell tumor; ischemia; leukemia; lymphoma; mesothelioma; prostate adenocarcinoma; psoriasis; renal cell carcinoma; rheumatoid arthritis; HIV infection; cervical adenocarcinoma; actinic keratosis; pancreatic ductal adenocarcinoma; large cell lung carcinoma; urogenital neoplasm; mouth neoplasm; ovarian neoplasm; stomach neoplasm; angiosarcoma; nasopharyngeal neoplasm; testicular neoplasm; upper aerodigestive tract neoplasm; testicular carcinoma; cholangiocarcinoma; triple-negative breast cancer; esophageal squamous cell carcinoma; non-Hodgkins lymphoma; stricture; head and neck malignant neoplasia; verrucous carcinoma; Fallopian Tube Carcinoma; rectum cancer; inflammatory breast carcinoma; ""Genital neoplasm, female""; endometrial carcinoma; colorectal carcinoma; soft tissue sarcoma; Hereditary breast and ovarian cancer syndrome; endometrioid carcinoma; lung adenocarcinoma; peripheral neuropathy; colorectal neoplasm; undifferentiated carcinoma; small cell carcinoma; urothelial carcinoma; metastasis; Thymic Carcinoma; Thymoma; Uterine Carcinosarcoma; adrenal cortex carcinoma; oropharynx cancer; intrahepatic cholangiocarcinoma; chronic lymphocytic leukemia; hypopharyngeal carcinoma; pain; neuropathy; breast ductal adenocarcinoma; gastrointestinal disease; ovarian serous cystadenocarcinoma; Central Nervous System Neoplasm; gastric cancer; urinary bladder cancer; penile cancer; vaginal cancer; vulva cancer; anus cancer; peritoneum cancer; thyroid cancer; neuroendocrine carcinoma; fallopian tube cancer; kidney cancer; teratoma; liver cancer; uterine cancer; cervical cancer; biliary tract cancer; urethra cancer; breast carcinoma in situ; salivary gland cancer; gallbladder cancer; breast cancer; esophageal cancer; ovarian cancer; prostate cancer; lung cancer; endometrial cancer; neoplasm of esophagus; ovarian sex cord-stromal tumor; oropharyngeal carcinoma; oral squamous cell carcinoma; anemia (phenotype); laryngeal squamous cell carcinoma; gliosarcoma; oropharynx squamous cell carcinoma; breast ductal carcinoma in situ; thyroid carcinoma; salivary gland neoplasm; brain neoplasm; female reproductive system neoplasm; carcinoid tumor; malignant peritoneal mesothelioma; Malignant Bone Neoplasm; childhood germ cell tumor; urinary bladder carcinoma; allergic disease; gastrointestinal stromal tumor; malignant epithelial tumor of ovary; gestational trophoblastic neoplasm; mixed neoplasm; lung neoplasm; endometrium neoplasm; malignant glioma; lymphoid neoplasm; uterine corpus cancer; sex cord-stromal tumor; HER2 Positive Breast Carcinoma; Malignant Pancreatic Neoplasm; cancer; cervical intraepithelial neoplasia",immune system toxicity (); hematological toxicity (); dermatological toxicity (); vascular toxicity (),Binds to beta tubulin,Tubulin,PROTEIN COMPLEX GROUP,Tubulin inhibitor,Not available,Not available
CHEMBL495,ALPROSTADIL,Not available,erectile dysfunction; cardiovascular disease; sexual dysfunction; heart failure; peripheral vascular disease; arteriosclerosis obliterans; macular degeneration; anterior ischemic optic neuropathy; peripheral arterial disease; prostate cancer; COVID-19; adult acute respiratory distress syndrome; Patent ductus arteriosus; Acute kidney injury,Not available,Not available,Prostanoid EP1 receptor; Prostanoid EP2 receptor,SINGLE PROTEIN,Prostanoid EP1 receptor agonist; Prostanoid EP2 receptor agonist,Not available,Not available
CHEMBL496,HEXACHLOROPHENE,Not available,Not available,Not available,Not available,Bacterial enoyl-[acyl-carrier-protein] reductase,SINGLE PROTEIN,Bacterial enoyl-[acyl-carrier-protein] reductase inhibitor,Not available,Not available
CHEMBL497,CLIOQUINOL,Not available,chronic lymphocytic leukemia; Hodgkins lymphoma; myelodysplastic syndrome; acute myeloid leukemia; multiple myeloma; Eczema; epilepsy; amebiasis,neurotoxicity (),Not available,Zinc; Iron; Copper,METAL,Zinc chelating agent; Iron chelating agent; Copper chelating agent,Not available,Not available
CHEMBL10878,AGOMELATINE,Not available,unipolar depression; obsessive-compulsive disorder; anxiety; Dementia; major depressive disorder; depressive disorder; schizophrenia; unipolar depression,Not available,Not available,Melatonin receptor; Serotonin 2c (5-HT2c) receptor,PROTEIN FAMILY; SINGLE PROTEIN,Serotonin 2c (5-HT2c) receptor antagonist; Melatonin receptor agonist,Not available,Not available
CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL498,CHLORPROPAMIDE,Not available,diabetes mellitus; type 2 diabetes mellitus,Not available,Not available,"Sulfonylurea receptor 1, Kir6.2",PROTEIN COMPLEX,"Sulfonylurea receptor 1, Kir6.2 blocker",Not available,Not available
CHEMBL499,TIMOLOL,Not available,open-angle glaucoma; cardiovascular disease; hemangioma; ocular hypertension; melanoma; wet macular degeneration; injury; varicose ulcer; exfoliation syndrome; migraine disorder; hereditary hemorrhagic telangiectasia; glaucoma,Not available,Not available,Beta-2 adrenergic receptor; Beta-1 adrenergic receptor,SINGLE PROTEIN,Beta-1 adrenergic receptor antagonist; Beta-2 adrenergic receptor antagonist,Not available,Not available
CHEMBL500,PINDOLOL,Not available,cardiovascular disease; unipolar depression; major depressive disorder,Not available,Not available,Beta-2 adrenergic receptor; Beta-1 adrenergic receptor,SINGLE PROTEIN,Beta-1 adrenergic receptor partial agonist; Beta-2 adrenergic receptor partial agonist,Not available,Not available
